# title : Confirmed SARS–CoV–2 infections
# x_label : Day
# y_label : Confirmed
# x_lim : 0.0, 917 + 1.0
# y_log : 1
# location : 4
Germany	Austria	Belgium	Netherlands	France	Italy	Spain		US
299237.0	47648.0	130235.0	145805.0	660372.0	325329.0	789932.0	7.422136e6
300619.0	48366.0	132203.0	150365.0	666011.0	327586.0	813412.0	7.459493e6
303258.0	49103.0	134291.0	155402.0	677321.0	330263.0	825410.0	7.504039e6
306086.0	50030.0	137868.0	161287.0	696274.0	333940.0	835901.0	7.553176e6
310144.0	51108.0	143596.0	167303.0	713676.0	338398.0	848324.0	7.611066e6
314660.0	52382.0	148981.0	173847.0	734707.0	343770.0	861112.0	7.666145e6
319381.0	53492.0	156931.0	180267.0	761384.0	349494.0	861112.0	7.721512e6
322864.0	54752.0	162258.0	187133.0	777378.0	354950.0	861112.0	7.768412e6
325331.0	55766.0	165880.0	194516.0	786590.0	359569.0	888968.0	7.810492e6
329453.0	56596.0	173240.0	201878.0	800216.0	365467.0	896086.0	7.860615e6
334585.0	57739.0	181511.0	209733.0	823181.0	372799.0	908056.0	7.919057e6
341223.0	59060.0	191959.0	217783.0	852938.0	381602.0	921374.0	7.982595e6
348557.0	60495.0	202151.0	225935.0	878572.0	391611.0	936560.0	8.052769e6
356387.0	62017.0	213115.0	234152.0	910711.0	402536.0	936560.0	8.107601e6
361974.0	63812.0	222253.0	242195.0	940548.0	414241.0	936560.0	8.159771e6
366299.0	65297.0	230480.0	250382.0	954838.0	423578.0	974449.0	8.227653e6
373167.0	66496.0	240159.0	259154.0	975214.0	434449.0	988322.0	8.28939e6
380762.0	68142.0	253386.0	268478.0	1.002624e6	449648.0	1.005295e6	8.350096e6
392049.0	70120.0	270132.0	278513.0	1.043437e6	465726.0	1.026281e6	8.429717e6
403291.0	72774.0	287700.0	287197.0	1.086286e6	484869.0	1.046132e6	8.511376e6
418005.0	76005.0	305409.0	297431.0	1.131551e6	504509.0	1.046132e6	8.589751e6
429181.0	79352.0	321031.0	307809.0	1.138167e6	525782.0	1.046132e6	8.650726e6
437866.0	82322.0	333718.0	318123.0	1.211177e6	542789.0	1.09832e6	8.71529e6
449275.0	84796.0	347289.0	326254.0	1.245635e6	564778.0	1.116738e6	8.792513e6
464239.0	87578.0	368337.0	336572.0	1.283185e6	589766.0	1.136503e6	8.87899e6
481013.0	91951.0	392258.0	347748.0	1.329821e6	616595.0	1.160083e6	8.970283e6
499694.0	96420.0	412314.0	357605.0	1.379295e6	647674.0	1.185678e6	9.07013e6
518753.0	101467.0	429229.0	366323.0	1.414396e6	679430.0	1.185678e6	9.157473e6
532930.0	107182.0	441018.0	374637.0	1.460575e6	709335.0	1.185678e6	9.235303e6
545027.0	111972.0	447355.0	382406.0	1.566666e6	731588.0	1.240697e6	9.317109e6
560379.0	116451.0	452541.0	390073.0	1.639267e6	759829.0	1.259366e6	9.441875e6
577593.0	121643.0	468213.0	397085.0	1.593146e6	790377.0	1.284408e6	9.542136e6
597583.0	128005.0	479341.0	404354.0	1.650966e6	824879.0	1.306316e6	9.670217e6
619089.0	135116.0	488044.0	411063.0	1.711918e6	862681.0	1.328832e6	9.797272e6
642488.0	142069.0	494168.0	416771.0	1.798573e6	902490.0	1.328832e6	9.924336e6
658505.0	150159.0	500789.0	421486.0	1.837135e6	935104.0	1.328832e6	1.0044009e7
671868.0	155484.0	503182.0	426170.0	1.858559e6	960373.0	1.381218e6	1.0160964e7
687200.0	161228.0	507475.0	431634.0	1.881172e6	995463.0	1.381218e6	1.0297518e7
705687.0	167475.0	515391.0	437330.0	1.917578e6	1.028424e6	1.417709e6	1.04452e7
727553.0	174910.0	520393.0	443467.0	1.950136e6	1.066401e6	1.43722e6	1.0603995e7
751095.0	184087.0	525012.0	449447.0	1.974271e6	1.107303e6	1.458591e6	1.0783514e7
773556.0	192344.0	531280.0	454914.0	2.006228e6	1.144552e6	1.458591e6	1.0947564e7
790503.0	199362.0	535939.0	459791.0	2.03342e6	1.178529e6	1.458591e6	1.1087279e7
801327.0	204460.0	537871.0	464139.0	2.04347e6	1.205881e6	1.496864e6	1.1240367e7
815746.0	209072.0	540605.0	468814.0	2.089073e6	1.238072e6	1.510023e6	1.1405015e7
833307.0	215147.0	545787.0	474545.0	2.117917e6	1.272352e6	1.525341e6	1.1576984e7
855916.0	222669.0	550264.0	480574.0	2.138706e6	1.308528e6	1.541574e6	1.1769284e7
879564.0	229103.0	553680.0	486719.0	2.16197e6	1.345767e6	1.55673e6	1.1970952e7
902528.0	235710.0	556904.0	492208.0	2.17964e6	1.380531e6	1.55673e6	1.2150771e7
918269.0	242175.0	558779.0	497463.0	2.19277e6	1.408868e6	1.55673e6	1.2297358e7
929133.0	247329.0	559902.0	501427.0	2.197832e6	1.431795e6	1.582616e6	1.2478869e7
942687.0	249765.0	561803.0	506412.0	2.207753e6	1.455022e6	1.594844e6	1.2652431e7
961320.0	254373.0	564967.0	511027.0	2.224508e6	1.480874e6	1.605066e6	1.2832643e7
983588.0	260116.0	567532.0	516905.0	2.237509e6	1.509875e6	1.617355e6	1.2949892e7
1.006394e6	265507.0	570829.0	521504.0	2.250283e6	1.538217e6	1.628208e6	1.3164526e7
1.028089e6	270525.0	574448.0	527224.0	2.26276e6	1.564532e6	1.628208e6	1.333275e7
1.0427e6	274763.0	576599.0	531904.0	2.272523e6	1.585178e6	1.628208e6	1.3473101e7
1.053869e6	278500.0	577345.0	535975.0	2.27683e6	1.601554e6	1.648187e6	1.3628015e7
1.067473e6	280891.0	579212.0	541050.0	2.285273e6	1.620901e6	1.656444e6	1.3825131e7
1.084743e6	284266.0	582252.0	546844.0	2.299501e6	1.64161e6	1.665775e6	1.4021291e7
1.106789e6	288203.0	584857.0	552856.0	2.312288e6	1.664829e6	1.675902e6	1.424151e7
1.130238e6	291771.0	587439.0	559561.0	2.323799e6	1.688939e6	1.684647e6	1.4476879e7
1.153556e6	295427.0	589942.0	566495.0	2.336681e6	1.709991e6	1.684647e6	1.4698887e7
1.171323e6	299018.0	591756.0	573695.0	2.34763e6	1.728878e6	1.684647e6	1.4878212e7
1.183655e6	301883.0	592615.0	579896.0	2.351041e6	1.742557e6	1.702328e6	1.5073671e7
1.197709e6	303950.0	594572.0	586525.0	2.365085e6	1.757394e6	1.702328e6	1.5300726e7
1.218524e6	306462.0	597643.0	595363.0	2.37976e6	1.770149e6	1.712101e6	1.5516732e7
1.242203e6	309094.0	600397.0	604311.0	2.393632e6	1.787147e6	1.720056e6	1.5753677e7
1.272078e6	311574.0	600397.0	613532.0	2.407121e6	1.805873e6	1.730575e6	1.5992578e7
1.300516e6	314664.0	603159.0	623514.0	2.421068e6	1.825775e6	1.730575e6	1.6217115e7
1.320716e6	317499.0	608137.0	632024.0	2.432601e6	1.843712e6	1.730575e6	1.6408708e7
1.337078e6	320135.0	609211.0	638718.0	2.435793e6	1.855737e6	1.751884e6	1.6618531e7
